GeoName,Year,per_capita_income
Adair,2011,40260
Adair,2012,40864
Adair,2013,43050
Adair,2014,43329
Adair,2015,45382
Adair,2016,44289
Adair,2017,46466
Adair,2018,49434
Adair,2019,49477
Adair,2020,53926
Adair,2021,65295
Adair,2022,68112
Adair,2023,69958
Adair,2024,76983
Adams,2011,47054
Adams,2012,47531
Adams,2013,55370
Adams,2014,57018
Adams,2015,63806
Adams,2016,58745
Adams,2017,56467
Adams,2018,56660
Adams,2019,54672
Adams,2020,53052
Adams,2021,65052
Adams,2022,66659
Adams,2023,64729
Adams,2024,63791
Allamakee,2011,37785
Allamakee,2012,38328
Allamakee,2013,40323
Allamakee,2014,41426
Allamakee,2015,41456
Allamakee,2016,41915
Allamakee,2017,43425
Allamakee,2018,45117
Allamakee,2019,46425
Allamakee,2020,48836
Allamakee,2021,53589
Allamakee,2022,55950
Allamakee,2023,55561
Allamakee,2024,58705
Appanoose,2011,31207
Appanoose,2012,32155
Appanoose,2013,32455
Appanoose,2014,32872
Appanoose,2015,34458
Appanoose,2016,35361
Appanoose,2017,37583
Appanoose,2018,38526
Appanoose,2019,39224
Appanoose,2020,43011
Appanoose,2021,47565
Appanoose,2022,47222
Appanoose,2023,47961
Appanoose,2024,50647
Audubon,2011,48149
Audubon,2012,44459
Audubon,2013,46802
Audubon,2014,43819
Audubon,2015,43219
Audubon,2016,42425
Audubon,2017,44865
Audubon,2018,48828
Audubon,2019,49502
Audubon,2020,51864
Audubon,2021,64973
Audubon,2022,71777
Audubon,2023,66864
Audubon,2024,67931
Benton,2011,42704
Benton,2012,44230
Benton,2013,45751
Benton,2014,47018
Benton,2015,48402
Benton,2016,48715
Benton,2017,50313
Benton,2018,52021
Benton,2019,53627
Benton,2020,55627
Benton,2021,63490
Benton,2022,69469
Benton,2023,65279
Benton,2024,66113
Black Hawk,2011,37115
Black Hawk,2012,38601
Black Hawk,2013,38319
Black Hawk,2014,39606
Black Hawk,2015,40291
Black Hawk,2016,40504
Black Hawk,2017,41774
Black Hawk,2018,44558
Black Hawk,2019,45136
Black Hawk,2020,49242
Black Hawk,2021,52556
Black Hawk,2022,53193
Black Hawk,2023,55508
Black Hawk,2024,56987
Boone,2011,42316
Boone,2012,43111
Boone,2013,44673
Boone,2014,44814
Boone,2015,44641
Boone,2016,44377
Boone,2017,44568
Boone,2018,46373
Boone,2019,47387
Boone,2020,49732
Boone,2021,53490
Boone,2022,54937
Boone,2023,57179
Boone,2024,58564
Bremer,2011,41585
Bremer,2012,43273
Bremer,2013,42953
Bremer,2014,43397
Bremer,2015,44478
Bremer,2016,45070
Bremer,2017,46714
Bremer,2018,48638
Bremer,2019,49880
Bremer,2020,52957
Bremer,2021,57723
Bremer,2022,59828
Bremer,2023,61605
Bremer,2024,62726
Buchanan,2011,41804
Buchanan,2012,41865
Buchanan,2013,44042
Buchanan,2014,43407
Buchanan,2015,44471
Buchanan,2016,44696
Buchanan,2017,46280
Buchanan,2018,48597
Buchanan,2019,48990
Buchanan,2020,51453
Buchanan,2021,57644
Buchanan,2022,61837
Buchanan,2023,61877
Buchanan,2024,62929
Buena Vista,2011,41668
Buena Vista,2012,43130
Buena Vista,2013,43335
Buena Vista,2014,43190
Buena Vista,2015,43180
Buena Vista,2016,37921
Buena Vista,2017,40128
Buena Vista,2018,42980
Buena Vista,2019,41905
Buena Vista,2020,44670
Buena Vista,2021,49564
Buena Vista,2022,54742
Buena Vista,2023,54242
Buena Vista,2024,57087
Butler,2011,43723
Butler,2012,42408
Butler,2013,42749
Butler,2014,40475
Butler,2015,40938
Butler,2016,41441
Butler,2017,42988
Butler,2018,45491
Butler,2019,46298
Butler,2020,48111
Butler,2021,57491
Butler,2022,61479
Butler,2023,61254
Butler,2024,61312
Calhoun,2011,45531
Calhoun,2012,45237
Calhoun,2013,48329
Calhoun,2014,45211
Calhoun,2015,43440
Calhoun,2016,43347
Calhoun,2017,43669
Calhoun,2018,46801
Calhoun,2019,47157
Calhoun,2020,48674
Calhoun,2021,59386
Calhoun,2022,66030
Calhoun,2023,62198
Calhoun,2024,63019
Carroll,2011,44970
Carroll,2012,45440
Carroll,2013,47456
Carroll,2014,47260
Carroll,2015,48304
Carroll,2016,47715
Carroll,2017,49108
Carroll,2018,52099
Carroll,2019,51238
Carroll,2020,54776
Carroll,2021,60642
Carroll,2022,67849
Carroll,2023,66687
Carroll,2024,69790
Cass,2011,38644
Cass,2012,39303
Cass,2013,40680
Cass,2014,41540
Cass,2015,43300
Cass,2016,42287
Cass,2017,43633
Cass,2018,45894
Cass,2019,47364
Cass,2020,49884
Cass,2021,56977
Cass,2022,60638
Cass,2023,62322
Cass,2024,65270
Cedar,2011,44530
Cedar,2012,46611
Cedar,2013,48671
Cedar,2014,49018
Cedar,2015,50166
Cedar,2016,50137
Cedar,2017,50570
Cedar,2018,53185
Cedar,2019,53500
Cedar,2020,55641
Cedar,2021,63325
Cedar,2022,68023
Cedar,2023,66683
Cedar,2024,69212
Cerro Gordo,2011,41268
Cerro Gordo,2012,44086
Cerro Gordo,2013,45247
Cerro Gordo,2014,49279
Cerro Gordo,2015,51249
Cerro Gordo,2016,49735
Cerro Gordo,2017,47945
Cerro Gordo,2018,49614
Cerro Gordo,2019,49345
Cerro Gordo,2020,52575
Cerro Gordo,2021,61544
Cerro Gordo,2022,75464
Cerro Gordo,2023,77416
Cerro Gordo,2024,80093
Cherokee,2011,43829
Cherokee,2012,47119
Cherokee,2013,48216
Cherokee,2014,52483
Cherokee,2015,55288
Cherokee,2016,53810
Cherokee,2017,53095
Cherokee,2018,57386
Cherokee,2019,53571
Cherokee,2020,54648
Cherokee,2021,68499
Cherokee,2022,94368
Cherokee,2023,84736
Cherokee,2024,86904
Chickasaw,2011,43659
Chickasaw,2012,44746
Chickasaw,2013,47707
Chickasaw,2014,50748
Chickasaw,2015,53734
Chickasaw,2016,52367
Chickasaw,2017,52857
Chickasaw,2018,56399
Chickasaw,2019,54264
Chickasaw,2020,56813
Chickasaw,2021,73671
Chickasaw,2022,102316
Chickasaw,2023,95087
Chickasaw,2024,96643
Clarke,2011,32428
Clarke,2012,33062
Clarke,2013,34494
Clarke,2014,35491
Clarke,2015,37659
Clarke,2016,36697
Clarke,2017,38065
Clarke,2018,39569
Clarke,2019,39048
Clarke,2020,43091
Clarke,2021,46068
Clarke,2022,49140
Clarke,2023,49436
Clarke,2024,53184
