County,year,child_welfare_assessments
Adair,2004,103
Adair,2005,221
Adair,2006,193
Adair,2007,165
Adair,2008,119
Adair,2009,163
Adair,2010,151
Adair,2011,164
Adair,2012,128
Adair,2013,159
Adair,2014,157
Adair,2015,196
Adair,2016,172
Adair,2017,214
Adair,2018,206
Adair,2019,231
Adair,2020,251
Adair,2021,352
Adair,2022,181
Adair,2023,205
Adams,2004,52
Adams,2005,36
Adams,2006,63
Adams,2007,106
Adams,2008,76
Adams,2009,124
Adams,2010,148
Adams,2011,143
Adams,2012,91
Adams,2013,123
Adams,2014,74
Adams,2015,97
Adams,2016,94
Adams,2017,124
Adams,2018,144
Adams,2019,141
Adams,2020,109
Adams,2021,102
Adams,2022,109
Adams,2023,106
Allamakee,2004,178
Allamakee,2005,273
Allamakee,2006,215
Allamakee,2007,217
Allamakee,2008,195
Allamakee,2009,326
Allamakee,2010,247
Allamakee,2011,350
Allamakee,2012,230
Allamakee,2013,252
Allamakee,2014,242
Allamakee,2015,180
Allamakee,2016,270
Allamakee,2017,264
Allamakee,2018,302
Allamakee,2019,298
Allamakee,2020,250
Allamakee,2021,361
Allamakee,2022,260
Allamakee,2023,279
Appanoose,2004,496
Appanoose,2005,415
Appanoose,2006,320
Appanoose,2007,262
Appanoose,2008,298
Appanoose,2009,448
Appanoose,2010,505
Appanoose,2011,388
Appanoose,2012,417
Appanoose,2013,348
Appanoose,2014,310
Appanoose,2015,437
Appanoose,2016,463
Appanoose,2017,458
Appanoose,2018,553
Appanoose,2019,431
Appanoose,2020,349
Appanoose,2021,473
Appanoose,2022,475
Appanoose,2023,339
Audubon,2004,83
Audubon,2005,84
Audubon,2006,130
Audubon,2007,158
Audubon,2008,166
Audubon,2009,131
Audubon,2010,92
Audubon,2011,170
Audubon,2012,100
Audubon,2013,67
Audubon,2014,95
Audubon,2015,116
Audubon,2016,121
Audubon,2017,190
Audubon,2018,181
Audubon,2019,226
Audubon,2020,230
Audubon,2021,262
Audubon,2022,226
Audubon,2023,251
Benton,2004,651
Benton,2005,542
Benton,2006,497
Benton,2007,481
Benton,2008,512
Benton,2009,556
Benton,2010,497
Benton,2011,553
Benton,2012,506
Benton,2013,447
Benton,2014,370
Benton,2015,459
Benton,2016,484
Benton,2017,594
Benton,2018,650
Benton,2019,580
Benton,2020,555
Benton,2021,659
Benton,2022,565
Benton,2023,640
Black Hawk,2004,4542
Black Hawk,2005,4936
Black Hawk,2006,4393
Black Hawk,2007,4181
Black Hawk,2008,4014
Black Hawk,2009,4372
Black Hawk,2010,4047
Black Hawk,2011,3750
Black Hawk,2012,3485
Black Hawk,2013,3351
Black Hawk,2014,3340
Black Hawk,2015,3309
Black Hawk,2016,3302
Black Hawk,2017,3210
Black Hawk,2018,4101
Black Hawk,2019,4287
Black Hawk,2020,4184
Black Hawk,2021,4367
Black Hawk,2022,4201
Black Hawk,2023,3957
Boone,2004,548
Boone,2005,553
Boone,2006,547
Boone,2007,522
Boone,2008,614
Boone,2009,809
Boone,2010,711
Boone,2011,679
Boone,2012,603
Boone,2013,547
Boone,2014,528
Boone,2015,533
Boone,2016,623
Boone,2017,516
Boone,2018,656
Boone,2019,736
Boone,2020,703
Boone,2021,703
Boone,2022,757
Boone,2023,581
Bremer,2004,444
Bremer,2005,321
Bremer,2006,371
Bremer,2007,321
Bremer,2008,305
Bremer,2009,360
Bremer,2010,327
Bremer,2011,314
Bremer,2012,291
Bremer,2013,253
Bremer,2014,251
Bremer,2015,287
Bremer,2016,273
Bremer,2017,286
Bremer,2018,413
Bremer,2019,432
Bremer,2020,358
Bremer,2021,578
Bremer,2022,471
Bremer,2023,471
Buchanan,2004,403
Buchanan,2005,507
Buchanan,2006,435
Buchanan,2007,311
Buchanan,2008,373
Buchanan,2009,343
Buchanan,2010,402
Buchanan,2011,466
Buchanan,2012,390
Buchanan,2013,423
Buchanan,2014,348
Buchanan,2015,289
Buchanan,2016,293
Buchanan,2017,319
Buchanan,2018,643
Buchanan,2019,486
Buchanan,2020,455
Buchanan,2021,614
Buchanan,2022,486
Buchanan,2023,517
Buena Vista,2004,340
Buena Vista,2005,334
Buena Vista,2006,428
Buena Vista,2007,434
Buena Vista,2008,303
Buena Vista,2009,464
Buena Vista,2010,547
Buena Vista,2011,543
Buena Vista,2012,486
Buena Vista,2013,495
Buena Vista,2014,352
Buena Vista,2015,328
Buena Vista,2016,428
Buena Vista,2017,492
Buena Vista,2018,554
Buena Vista,2019,520
Buena Vista,2020,499
Buena Vista,2021,611
Buena Vista,2022,638
Buena Vista,2023,733
Butler,2004,326
Butler,2005,292
Butler,2006,295
Butler,2007,320
Butler,2008,235
Butler,2009,325
Butler,2010,337
Butler,2011,323
Butler,2012,304
Butler,2013,287
Butler,2014,233
Butler,2015,245
Butler,2016,259
Butler,2017,225
Butler,2018,365
Butler,2019,317
Butler,2020,301
Butler,2021,335
Butler,2022,278
Butler,2023,368
Calhoun,2004,174
Calhoun,2005,171
Calhoun,2006,164
Calhoun,2007,143
Calhoun,2008,127
Calhoun,2009,210
Calhoun,2010,203
Calhoun,2011,156
Calhoun,2012,200
Calhoun,2013,225
Calhoun,2014,180
Calhoun,2015,199
Calhoun,2016,240
Calhoun,2017,204
Calhoun,2018,284
Calhoun,2019,292
Calhoun,2020,261
Calhoun,2021,328
Calhoun,2022,276
Calhoun,2023,443
Carroll,2004,224
Carroll,2005,337
Carroll,2006,395
Carroll,2007,389
Carroll,2008,381
Carroll,2009,447
Carroll,2010,334
Carroll,2011,372
Carroll,2012,389
Carroll,2013,387
Carroll,2014,360
Carroll,2015,360
Carroll,2016,363
Carroll,2017,327
Carroll,2018,529
Carroll,2019,638
Carroll,2020,507
Carroll,2021,541
Carroll,2022,572
Carroll,2023,576
Cass,2004,399
Cass,2005,269
Cass,2006,350
Cass,2007,391
Cass,2008,364
Cass,2009,376
Cass,2010,389
Cass,2011,403
Cass,2012,346
Cass,2013,312
Cass,2014,393
Cass,2015,337
Cass,2016,385
Cass,2017,416
Cass,2018,526
Cass,2019,514
Cass,2020,379
Cass,2021,513
Cass,2022,574
Cass,2023,580
Cedar,2004,241
Cedar,2005,253
Cedar,2006,311
Cedar,2007,305
Cedar,2008,306
Cedar,2009,305
Cedar,2010,419
Cedar,2011,369
Cedar,2012,341
Cedar,2013,371
Cedar,2014,313
Cedar,2015,295
Cedar,2016,333
Cedar,2017,418
Cedar,2018,455
Cedar,2019,357
Cedar,2020,365
Cedar,2021,442
Cedar,2022,393
Cedar,2023,497
Cerro Gordo,2004,1424
Cerro Gordo,2005,1304
Cerro Gordo,2006,1285
Cerro Gordo,2007,1215
Cerro Gordo,2008,1080
Cerro Gordo,2009,1388
Cerro Gordo,2010,1278
Cerro Gordo,2011,1288
Cerro Gordo,2012,1171
Cerro Gordo,2013,1107
Cerro Gordo,2014,1007
Cerro Gordo,2015,1181
Cerro Gordo,2016,1231
Cerro Gordo,2017,1233
Cerro Gordo,2018,1720
Cerro Gordo,2019,1642
Cerro Gordo,2020,1452
Cerro Gordo,2021,1502
Cerro Gordo,2022,1594
Cerro Gordo,2023,1351
Cherokee,2004,261
Cherokee,2005,302
Cherokee,2006,303
Cherokee,2007,293
Cherokee,2008,296
Cherokee,2009,337
Cherokee,2010,277
Cherokee,2011,253
Cherokee,2012,222
Cherokee,2013,189
Cherokee,2014,204
Cherokee,2015,243
Cherokee,2016,246
Cherokee,2017,266
Cherokee,2018,285
Cherokee,2019,316
Cherokee,2020,305
Cherokee,2021,335
Cherokee,2022,336
Cherokee,2023,263
Chickasaw,2004,253
Chickasaw,2005,234
Chickasaw,2006,296
Chickasaw,2007,285
Chickasaw,2008,224
Chickasaw,2009,267
Chickasaw,2010,283
Chickasaw,2011,242
Chickasaw,2012,219
Chickasaw,2013,205
Chickasaw,2014,217
Chickasaw,2015,179
Chickasaw,2016,240
Chickasaw,2017,249
Chickasaw,2018,247
Chickasaw,2019,213
Chickasaw,2020,173
Chickasaw,2021,241
Chickasaw,2022,230
Chickasaw,2023,211
Clarke,2004,207
Clarke,2005,207
Clarke,2006,309
Clarke,2007,209
Clarke,2008,202
Clarke,2009,279
Clarke,2010,270
Clarke,2011,276
Clarke,2012,292
Clarke,2013,231
Clarke,2014,232
Clarke,2015,214
Clarke,2016,240
Clarke,2017,280
Clarke,2018,411
Clarke,2019,526
Clarke,2020,381
Clarke,2021,436
Clarke,2022,294
Clarke,2023,310
Clay,2004,434
Clay,2005,511
Clay,2006,568
Clay,2007,425
Clay,2008,540
Clay,2009,497
Clay,2010,539
Clay,2011,502
Clay,2012,436
Clay,2013,442
Clay,2014,330
Clay,2015,399
Clay,2016,431
Clay,2017,482
Clay,2018,450
Clay,2019,495
Clay,2020,425
Clay,2021,524
Clay,2022,469
Clay,2023,580
Clayton,2004,252
Clayton,2005,357
Clayton,2006,355
Clayton,2007,312
Clayton,2008,303
Clayton,2009,233
Clayton,2010,317
Clayton,2011,276
Clayton,2012,387
Clayton,2013,311
Clayton,2014,273
Clayton,2015,253
Clayton,2016,246
Clayton,2017,270
Clayton,2018,335
Clayton,2019,383
Clayton,2020,268
Clayton,2021,382
Clayton,2022,308
Clayton,2023,355
Clinton,2004,963
Clinton,2005,1066
Clinton,2006,1141
Clinton,2007,1157
Clinton,2008,1187
Clinton,2009,1467
Clinton,2010,1544
Clinton,2011,1611
Clinton,2012,1516
Clinton,2013,1409
Clinton,2014,1411
Clinton,2015,1523
Clinton,2016,1658
Clinton,2017,1618
Clinton,2018,2179
Clinton,2019,2004
Clinton,2020,1863
Clinton,2021,2018
Clinton,2022,1927
Clinton,2023,1893
Crawford,2004,268
Crawford,2005,422
Crawford,2006,333
Crawford,2007,302
Crawford,2008,236
Crawford,2009,294
Crawford,2010,294
Crawford,2011,364
Crawford,2012,333
Crawford,2013,341
Crawford,2014,255
Crawford,2015,227
Crawford,2016,347
Crawford,2017,284
Crawford,2018,523
