County,year,total_medicaid_payments,total_medicaid_recipients
ADAIR,2011,18226353.0,23985.0
ADAIR,2012,15051646.0,23355.0
ADAIR,2013,14457866.0,22595.0
ADAIR,2014,16707055.0,26461.0
ADAIR,2015,19186761.0,26177.0
ADAIR,2016,11600362.0,23881.0
ADAIR,2017,19797830.0,28198.0
ADAIR,2018,24436210.0,36586.0
ADAIR,2019,26267348.0,32988.0
ADAIR,2020,24986590.0,30066.0
ADAIR,2021,28240480.0,38726.0
ADAIR,2022,29964966.0,40402.0
ADAIR,2023,34745143.0,42795.0
ADAIR,2024,68871821.0,47873.0
ADAMS,2011,14301871.0,15325.0
ADAMS,2012,15155058.0,14865.0
ADAMS,2013,13563678.0,14273.0
ADAMS,2014,14232158.0,17265.0
ADAMS,2015,14821361.0,16465.0
ADAMS,2016,8187581.0,14418.0
ADAMS,2017,11481088.0,16332.0
ADAMS,2018,14688916.0,21528.0
ADAMS,2019,15076570.0,17952.0
ADAMS,2020,14728104.0,15818.0
ADAMS,2021,16476704.0,20616.0
ADAMS,2022,17399804.0,22302.0
ADAMS,2023,18806380.0,23644.0
ADAMS,2024,19069210.0,21952.0
ALLAMAKEE,2011,35676559.0,52461.0
ALLAMAKEE,2012,35653298.0,52723.0
ALLAMAKEE,2013,34460093.0,51563.0
ALLAMAKEE,2014,35509711.0,58669.0
ALLAMAKEE,2015,37362850.0,55635.0
ALLAMAKEE,2016,20462000.0,49192.0
ALLAMAKEE,2017,35252833.0,59540.0
ALLAMAKEE,2018,40634911.0,74467.0
ALLAMAKEE,2019,44205169.0,63092.0
ALLAMAKEE,2020,40954371.0,55944.0
ALLAMAKEE,2021,45933679.0,69444.0
ALLAMAKEE,2022,47864638.0,73176.0
ALLAMAKEE,2023,49466594.0,76472.0
ALLAMAKEE,2024,45576146.0,71334.0
APPANOOSE,2011,44056137.0,63731.0
APPANOOSE,2012,41907367.0,62868.0
APPANOOSE,2013,40363533.0,61659.0
APPANOOSE,2014,46981792.0,73860.0
APPANOOSE,2015,53122067.0,80052.0
APPANOOSE,2016,28731262.0,67333.0
APPANOOSE,2017,51241306.0,75825.0
APPANOOSE,2018,62318950.0,94652.0
APPANOOSE,2019,65940454.0,84940.0
APPANOOSE,2020,62154016.0,76754.0
APPANOOSE,2021,67763080.0,93298.0
APPANOOSE,2022,69144296.0,94428.0
APPANOOSE,2023,71825966.0,95156.0
APPANOOSE,2024,67891708.0,86894.0
AUDUBON,2011,11626921.0,16321.0
AUDUBON,2012,12642552.0,16768.0
AUDUBON,2013,11723560.0,17667.0
AUDUBON,2014,13451550.0,21140.0
AUDUBON,2015,16585204.0,23825.0
AUDUBON,2016,9746564.0,21043.0
AUDUBON,2017,14184001.0,24206.0
AUDUBON,2018,16918434.0,30592.0
AUDUBON,2019,17852296.0,26286.0
AUDUBON,2020,17657127.0,23740.0
AUDUBON,2021,21332848.0,30130.0
AUDUBON,2022,22970157.0,32570.0
AUDUBON,2023,23003936.0,33452.0
AUDUBON,2024,21083041.0,30096.0
BENTON,2011,45360391.0,70327.0
BENTON,2012,41634033.0,67568.0
BENTON,2013,45817554.0,68036.0
BENTON,2014,57636609.0,83325.0
