GEOID,County,total_population,median_household_income,civilian_labor_force,employed_population,unemployed_population,unemployment_rate
19001,Adair,7460,68092,3893,3739,154,3.955818135
19003,Adams,3622,71875,1756,1687,69,3.929384966
19005,Allamakee,14092,70694,7143,6967,176,2.463950721
19007,Appanoose,12184,54934,5557,5343,214,3.85099874
19009,Audubon,5599,58229,2775,2739,36,1.297297297
19011,Benton,25724,86962,13421,13151,270,2.011772595
19013,Black Hawk,131049,66417,70124,66926,3198,4.560492841
19015,Boone,26668,83531,14471,14253,218,1.506461198
19017,Bremer,25204,86784,13344,12903,441,3.304856115
19019,Buchanan,20694,78236,11017,10704,313,2.84106381
19021,Buena Vista,20753,71719,10923,10317,606,5.547926394
19023,Butler,14268,73715,7340,7110,230,3.133514986
19025,Calhoun,9803,64964,4432,4318,114,2.572202166
19027,Carroll,20594,72930,10826,10631,195,1.801219287
19029,Cass,13096,63013,6700,6606,94,1.402985075
19031,Cedar,18349,80602,9680,9462,218,2.252066116
19033,Cerro Gordo,42632,68189,22028,21452,576,2.614853822
19035,Cherokee,11600,71269,6150,5997,153,2.487804878
19037,Chickasaw,11807,75675,6253,6154,99,1.583240045
19039,Clarke,9662,71641,4816,4612,204,4.235880399
19041,Clay,16461,65428,8540,8240,300,3.512880562
19043,Clayton,17013,67242,8535,8320,215,2.51903925
19045,Clinton,46268,66981,22506,21747,759,3.372434018
19047,Crawford,16277,67027,8411,8090,321,3.816430864
19049,Dallas,107968,102379,61013,59614,1399,2.292953961
19051,Davis,9157,77194,4121,4009,112,2.717786945
19053,Decatur,7759,59044,3874,3799,75,1.93598348
19055,Delaware,17558,74989,9712,9513,199,2.049011532
19057,Des Moines,38487,62928,19168,18572,596,3.109348915
19059,Dickinson,17990,75432,9648,9362,286,2.964344942
19061,Dubuque,99030,77630,53131,51186,1945,3.66076302
19063,Emmet,9262,63730,5083,4998,85,1.672240803
19065,Fayette,19288,60165,9461,9158,303,3.202621287
19067,Floyd,15328,68557,7646,7396,250,3.269683495
19069,Franklin,9956,59894,4774,4593,181,3.79136992
19071,Fremont,6514,71621,3112,3087,25,0.803341902
19073,Greene,8688,63409,4214,4117,97,2.301850973
19075,Grundy,12384,87205,6442,6316,126,1.955914312
19077,Guthrie,10688,77711,5464,5288,176,3.221083455
19079,Hamilton,14886,72432,7713,7339,374,4.848956308
19081,Hancock,10671,70601,5484,5381,103,1.878191101
19083,Hardin,16639,65069,8558,8191,367,4.288385137
19085,Harrison,14632,79535,7589,7415,174,2.292792199
19087,Henry,20004,67436,9604,9462,142,1.478550604
19089,Howard,9445,67446,4746,4658,88,1.854193005
19091,Humboldt,9591,71946,4844,4600,244,5.037159372
19093,Ida,6911,63073,3586,3500,86,2.398215282
19095,Iowa,16507,71223,8764,8597,167,1.905522592
19097,Jackson,19390,74186,9790,9291,499,5.097037794
19099,Jasper,37954,71311,18963,17885,1078,5.684754522
19101,Jefferson,15705,61620,7874,7248,626,7.9502159
19103,Johnson,156639,74935,90024,86630,3394,3.77010575
19105,Jones,20896,73531,10321,9954,367,3.555856991
19107,Keokuk,9924,62329,4836,4618,218,4.507857734
19109,Kossuth,14516,67697,7353,7212,141,1.917584659
19111,Lee,32893,62382,15385,14700,685,4.45238869
19113,Linn,230004,77649,125113,120795,4318,3.451280043
19115,Louisa,10678,77354,5453,5291,162,2.970841738
19117,Lucas,8716,61793,4165,3950,215,5.162064826
19119,Lyon,12162,76746,6251,6105,146,2.3356263
19121,Madison,16926,90855,9232,8913,319,3.455372617
19123,Mahaska,22021,70940,11345,10947,398,3.508153372
19125,Marion,33642,78680,17548,17166,382,2.176886255
19127,Marshall,40114,73315,20802,19912,890,4.278434766
19129,Mills,14568,90753,7069,6929,140,1.980478144
19131,Mitchell,10575,71365,5563,5496,67,1.204386123
19133,Monona,8557,68377,4195,4127,68,1.620977354
19135,Monroe,7513,70996,3641,3527,114,3.131007965
19137,Montgomery,10214,63666,4755,4630,125,2.628811777
19139,Muscatine,42559,69396,21746,21051,695,3.195990067
19141,Obrien,14126,68356,7221,7149,72,0.997091816
19143,Osceola,6100,69239,3160,3053,107,3.386075949
19145,Page,15131,57953,6809,6468,341,5.008077544
19147,Palo Alto,8863,72781,4763,4658,105,2.204492967
19149,Plymouth,25747,83251,13823,13519,304,2.199233162
19151,Pocahontas,7046,61875,3442,3256,186,5.40383498
19153,Polk,503175,83576,280850,268627,12223,4.352145273
19155,Pottawattamie,93424,73602,47087,45291,1796,3.814216238
19157,Poweshiek,18545,67391,9635,9284,351,3.642968345
19159,Ringgold,4645,73346,2333,2257,76,3.25760823
19161,Sac,9689,73838,5256,5023,233,4.433028919
19163,Scott,174608,78277,91023,87697,3326,3.654021511
19165,Shelby,11778,72738,5899,5711,188,3.186980844
19167,Sioux,36212,86098,19389,19094,295,1.521481252
19169,Story,100466,69685,57404,54672,2732,4.759250226
19171,Tama,16868,70781,8275,7957,318,3.842900302
19173,Taylor,5868,67740,2951,2864,87,2.948153168
19175,Union,11993,57772,5655,5427,228,4.031830239
19177,Van Buren,7241,61161,3341,3204,137,4.100568692
